claim_id,policy_id,claim_type,claim_amount,days_since_policy_start,num_prior_claims,incident_report_delay_days,is_weekend_claim,claim_channel,fraud_label
200219,52357,Travel,5069.44,443,0,3,0,Phone,0
200220,53021,Home,4378.46,1164,1,1,0,Phone,0
200221,51118,Motor,2892.75,1434,1,4,1,Online,0
200222,55782,Motor,862.31,3038,0,4,0,Online,1
200223,50210,Home,1743.82,786,3,6,1,Online,0
200224,50265,Travel,5656.93,2388,2,2,1,Online,0
200225,52936,Travel,1318.16,540,0,9,0,Online,1
200226,53664,Home,3072.5,526,0,5,1,Phone,1
200227,54273,Motor,2016.91,2789,3,4,0,Online,1
200228,53290,Travel,2113.2,1658,1,1,1,Online,0
200229,53604,Motor,1177.56,713,2,0,0,Phone,0
200230,53662,Motor,4995.74,2559,0,3,1,Phone,0
200231,51838,Motor,2242.92,3539,2,7,0,Phone,1
200232,55455,Travel,698.62,1247,0,2,0,Online,0
200233,53251,Motor,5470.44,980,0,6,0,Online,0
200234,55428,Travel,947.33,1762,0,1,0,Phone,1
200235,53082,Home,4398.75,1388,2,6,0,Phone,0
200236,55491,Home,2231.16,3206,0,3,1,Online,0
200237,52839,Home,3030.25,2996,1,3,0,Online,1
200238,55982,Motor,1329.87,2812,2,5,0,Phone,0
200239,54976,Motor,2837.03,609,0,6,0,Broker,0
200240,55642,Home,2761.06,2029,1,3,0,Broker,0
200241,51194,Motor,1225.71,527,0,3,0,Phone,0
200242,55250,Motor,4562.52,1965,1,2,0,Online,0
200243,52872,Motor,745.42,2301,0,4,1,Online,0
200244,50327,Home,2036.26,2496,1,4,1,Phone,0
200245,50455,Motor,1233.35,3583,1,7,0,Online,0
200246,51023,Home,3446.85,1773,1,6,0,Online,0
200247,55322,Motor,3147.62,3402,0,6,0,Phone,0
200248,52565,Motor,3897.97,2575,1,5,0,Phone,1
200249,52027,Motor,3934.32,1484,1,4,1,Phone,0
200250,51205,Motor,3341.49,1609,1,4,0,Phone,1
200251,55462,Motor,901.14,3123,4,4,0,Online,0
200252,52982,Home,3955.97,3340,3,1,0,Phone,1
200253,52504,Motor,9531.37,2549,2,10,0,Online,0
200254,55585,Motor,194.61,2201,1,8,0,Online,0
200255,53628,Motor,921.63,142,1,4,0,Phone,0
200256,55018,Motor,2151.9,2047,0,3,1,Online,0
200257,54987,Motor,929.83,3377,1,8,0,Online,0
200258,53423,Home,1389.95,2230,2,1,0,Broker,0
200259,52546,Travel,4593.71,3252,1,7,0,Phone,0
200260,53119,Motor,4624.66,815,1,7,1,Online,0
200261,55409,Motor,7764.86,19,1,2,1,Online,1
200262,54166,Travel,3900.06,1807,0,5,0,Online,0
200263,51990,Motor,5258.06,1477,1,3,1,Phone,1
200264,55491,Home,621.21,3375,2,6,0,Phone,0
200265,55057,Motor,2583.46,2333,0,4,0,Phone,0
200266,54719,Motor,3059.63,3062,1,2,1,Online,0
200267,55049,Home,883.33,2883,0,6,0,Phone,0
200268,55951,Motor,1324.48,1006,2,3,0,Online,0
200269,54641,Home,2661.29,1108,1,5,1,Phone,0
200270,53604,Motor,3747.22,860,0,4,0,Broker,0
200271,53584,Home,248.26,1497,0,4,1,Phone,0
200272,50489,Motor,5188.04,3175,5,5,0,Broker,0
200273,54661,Motor,1666.4,1440,1,5,1,Phone,0
200274,54859,Motor,1591.71,2315,2,5,0,Phone,0
200275,51699,Motor,1662.21,3269,2,3,0,Online,0
200276,54101,Home,485.99,1332,1,6,0,Online,0
200277,52972,Home,3085.89,796,1,1,0,Online,0
200278,55881,Motor,5004.45,939,2,3,0,Phone,0
200279,54924,Travel,4660.2,1765,1,8,0,Online,0
200280,55055,Home,2151.99,1334,1,5,0,Phone,0
200281,55679,Motor,2565.6,3109,0,4,0,Online,0
200282,50889,Motor,1535.02,2289,1,4,0,Phone,0
200283,53375,Home,2194.45,2349,2,4,0,Online,0
200284,55010,Home,4269.53,2546,2,3,0,Phone,0
200285,50963,Travel,1314.11,2972,2,4,0,Phone,0
200286,53321,Motor,743.81,3402,2,5,0,Online,0
200287,51822,Motor,1961.98,1072,0,4,0,Online,0
200288,55939,Motor,2024.69,1120,1,7,1,Online,0
200289,51442,Motor,2993.28,3000,0,5,1,Phone,0
200290,52422,Home,4720.53,178,0,3,0,Online,0
200291,53923,Motor,3831.21,2035,1,1,0,Online,0
200292,55053,Home,576.13,3466,4,8,0,Online,1
200293,54673,Motor,2808.46,3277,1,4,0,Phone,0
200294,50924,Motor,1754.24,527,1,3,0,Phone,0
200295,55398,Travel,1464.5,3075,0,9,0,Phone,0
200296,51642,Motor,685.1,1538,1,5,1,Phone,0
200297,53451,Travel,6748.95,432,2,4,0,Online,0
200298,54415,Motor,2100.79,3221,0,5,1,Online,0
200299,55202,Home,707.56,2186,2,2,0,Online,0
200300,51088,Home,4705.11,632,2,5,0,Broker,0
200301,51903,Home,1894.81,691,1,4,0,Online,0
200302,50239,Home,1807.65,420,1,7,0,Online,0
200303,52452,Travel,4072.46,1339,1,5,0,Online,0
200304,54907,Motor,672.6,1401,1,0,0,Online,1
200305,55958,Travel,1059.13,3201,2,2,0,Phone,0
200306,54761,Travel,4209.31,2399,2,7,0,Phone,0
200307,50603,Motor,2085.84,1111,1,3,1,Broker,0
200308,54776,Motor,7420.44,146,1,3,0,Online,1
200309,50619,Motor,7870.57,1897,2,5,0,Online,0
200310,50706,Travel,2342.13,2447,0,0,0,Phone,0
200311,54062,Home,1480.13,961,2,7,1,Online,0
200312,53707,Motor,2276.01,1149,0,3,0,Broker,0
200313,54633,Motor,1229.2,859,0,5,0,Broker,0
200314,54190,Motor,3303.1,2852,1,5,0,Online,0
200315,50476,Home,3495.1,183,1,6,0,Online,0
200316,54737,Home,1148.36,152,0,3,0,Broker,0
200317,51205,Motor,3277.73,3102,1,2,1,Online,1
200318,53167,Motor,229.19,400,0,2,0,Online,0
200319,54024,Home,659.18,1337,0,2,0,Online,0
200320,55574,Travel,571.95,181,1,7,0,Phone,1
200321,55467,Motor,1915.31,3585,0,6,1,Online,0
200322,55466,Home,1323.87,699,1,4,0,Online,0
200323,50249,Motor,2616.01,2442,1,3,0,Broker,0
200324,51254,Home,6015.89,1642,2,8,1,Online,0
200325,51803,Motor,1810.6,2576,1,2,0,Phone,0
200326,50230,Motor,2441.87,1617,0,5,0,Phone,0
200327,53387,Motor,1835.2,2862,0,3,0,Phone,0
200328,51956,Home,6024.17,2985,0,4,0,Phone,0
200329,54952,Motor,2031.23,3094,0,4,1,Online,0
200330,54737,Home,1232.45,3227,0,4,1,Online,0
200331,55905,Home,3878.51,1045,1,3,0,Phone,0
200332,50108,Home,4312.59,3340,2,4,0,Phone,0
200333,53764,Home,3459.35,1059,0,9,0,Phone,0
200334,52529,Travel,905.03,2888,2,4,0,Phone,1
200335,54781,Motor,3357.28,588,2,3,0,Broker,0
200336,53171,Motor,3078.26,172,1,3,1,Broker,0
200337,53148,Motor,4032.82,815,3,4,1,Broker,0
200338,54373,Home,738.03,3431,3,7,0,Broker,0
200339,50786,Motor,3367.09,271,3,4,1,Online,0
200340,50214,Travel,1546.0,551,2,3,0,Online,0
200341,50895,Motor,2005.3,662,0,5,0,Phone,0
200342,55905,Travel,10728.94,3594,1,5,0,Online,0
200343,55958,Travel,4805.62,1394,2,2,1,Online,0
200344,54417,Home,4318.31,1613,1,4,0,Phone,1
200345,54473,Motor,149.77,357,0,7,1,Online,0
200346,54299,Motor,2587.31,1776,0,7,0,Broker,1
200347,50845,Home,4152.19,1570,2,3,1,Broker,1
200348,55769,Motor,3309.82,673,1,5,0,Online,1
200349,54865,Travel,931.7,1580,2,5,0,Phone,0
200350,53757,Motor,5339.8,3365,1,5,1,Online,0
200351,53204,Motor,2568.01,489,0,6,0,Online,0
200352,51863,Travel,3609.42,3582,0,5,0,Online,0
200353,52789,Motor,4114.55,145,0,3,0,Online,0
200354,54174,Motor,1919.01,22,1,1,1,Phone,0
200355,54585,Motor,1592.5,2532,1,8,0,Online,0
200356,54953,Motor,3218.98,1205,2,6,1,Online,1
200357,51778,Travel,3020.19,2815,0,4,0,Online,0
200358,52809,Motor,619.46,2270,2,1,0,Phone,0
200359,54868,Home,962.23,2819,4,6,0,Online,0
200360,51368,Motor,1767.3,1554,0,3,0,Phone,0
200361,50826,Motor,3209.96,3423,0,5,0,Online,0
200362,55491,Home,3512.15,644,2,5,0,Phone,1
200363,51398,Motor,563.79,2741,2,6,1,Online,0
200364,55765,Motor,2056.84,2617,3,7,0,Online,0
200365,51728,Motor,623.12,1054,0,3,0,Phone,0
200366,54331,Travel,3062.94,3402,2,3,0,Phone,0
200367,52336,Motor,2362.94,516,2,5,0,Phone,0
200368,54529,Motor,832.96,1890,1,5,0,Online,0
200369,51369,Home,2763.88,3609,2,2,0,Phone,0
200370,50702,Home,2000.0,267,0,2,1,Phone,0
200371,52917,Travel,1661.62,2411,1,3,0,Online,0
200372,51664,Motor,2331.84,1711,1,3,0,Online,0
200373,52573,Motor,1534.31,1039,0,3,0,Online,1
200374,55390,Home,4780.68,215,2,8,0,Online,0
200375,53783,Home,1683.65,2873,1,5,1,Online,1
200376,50787,Home,736.76,28,1,7,1,Phone,1
200377,55161,Motor,1813.27,1337,1,3,0,Online,1
200378,55931,Motor,3185.41,2963,4,4,0,Phone,1
200379,50356,Home,4320.23,2119,2,3,0,Phone,0
200380,52686,Motor,7687.37,3286,2,2,0,Phone,0
200381,54766,Motor,3453.86,1961,1,4,0,Broker,0
200382,54071,Motor,2723.25,1857,2,5,0,Broker,0
200383,51625,Motor,4083.06,3356,1,3,0,Online,1
200384,52404,Travel,1806.4,1432,0,4,0,Phone,0
200385,50471,Travel,3031.14,601,2,5,0,Online,0
200386,51070,Motor,3097.29,123,0,1,0,Phone,0
200387,54109,Motor,2588.79,1975,0,3,1,Online,0
200388,55090,Home,293.42,2035,2,3,0,Online,0
200389,51931,Travel,9695.75,1132,0,4,0,Online,0
200390,50400,Motor,1864.2,2139,1,4,0,Online,0
200391,52608,Motor,1069.98,2811,0,5,0,Online,0
200392,54313,Home,1347.77,1984,0,4,1,Online,0
200393,50159,Motor,7633.22,2087,0,7,0,Online,1
200394,54042,Motor,333.42,2072,1,3,0,Online,1
200395,50383,Home,1373.87,3018,2,2,0,Online,0
200396,51642,Travel,2063.65,272,1,3,0,Broker,0
200397,55895,Motor,5338.26,1891,3,3,0,Phone,0
200398,55937,Motor,2065.61,1855,2,7,1,Broker,0
200399,52843,Motor,3764.16,1026,3,4,0,Online,0
200400,52497,Home,1841.23,1949,0,3,0,Broker,0
200401,51763,Travel,4370.55,3632,1,4,0,Online,0
200402,51733,Motor,1269.87,2328,2,5,0,Broker,0
200403,51842,Home,1037.79,197,0,7,0,Phone,0
200404,53619,Motor,1698.8,2345,1,3,0,Broker,1
200405,51813,Motor,1281.29,1789,1,6,0,Online,0
200406,53798,Travel,2517.26,1514,1,2,0,Phone,0
200407,54161,Motor,1653.82,1203,1,1,1,Online,1
200408,53189,Travel,6712.95,3584,0,5,1,Online,0
200409,52040,Home,805.73,1651,1,2,1,Online,0
200410,55565,Travel,1461.99,3605,0,4,0,Phone,0
200411,51165,Travel,1963.73,311,0,6,1,Phone,1
200412,50836,Home,482.51,2128,0,4,0,Phone,1
200413,53893,Motor,2083.74,2186,0,2,0,Online,0
200414,52061,Home,4349.0,836,2,2,0,Online,0
200415,54498,Travel,4151.32,496,1,7,0,Phone,0
200416,55542,Motor,4990.14,2238,1,4,1,Online,0
200417,50517,Motor,1613.44,716,0,6,0,Broker,0
200418,50763,Travel,776.67,116,0,3,0,Online,0
200419,54600,Motor,617.38,1349,1,4,0,Online,0
200420,55352,Motor,1101.78,2884,2,3,0,Phone,0
200421,55386,Travel,4084.1,703,2,8,0,Broker,0
200422,52771,Motor,586.45,1433,1,6,1,Online,1
200423,52955,Motor,5269.03,2671,2,6,1,Online,0
200424,53766,Motor,1358.41,2948,1,2,0,Phone,1
200425,51924,Home,5242.72,224,1,3,0,Online,0
200426,54373,Home,4352.58,2939,1,4,0,Online,0
200427,52081,Motor,2664.56,2234,1,7,0,Broker,1
200428,52412,Motor,2277.64,733,1,1,0,Phone,0
200429,51525,Motor,3588.2,2739,0,4,1,Phone,1
200430,55724,Home,3546.27,1348,0,3,0,Phone,1
200431,53302,Home,1130.47,3053,1,9,0,Broker,0
200432,53056,Home,584.71,3096,1,7,0,Online,0
200433,54882,Motor,1343.2,1601,1,3,0,Online,0
200434,55889,Home,1169.08,2845,1,2,1,Online,1
200435,51410,Home,3594.18,2315,0,1,0,Online,0
200436,53931,Motor,2478.05,624,1,2,1,Online,0
200437,53374,Motor,1231.39,2015,1,2,0,Online,0
200438,50658,Home,862.83,3350,0,3,1,Online,0
200439,50249,Home,984.19,776,1,1,0,Broker,0
200440,52688,Motor,1694.87,1760,0,6,0,Online,0
200441,50272,Home,1713.62,530,2,3,1,Online,0
200442,51279,Motor,4206.67,2660,0,5,1,Phone,0
200443,51418,Travel,2466.29,2069,1,6,0,Online,0
200444,55016,Motor,284.45,79,2,2,1,Phone,0
200445,52657,Home,3039.59,3541,1,7,1,Online,0
200446,55258,Motor,1878.9,1764,2,5,1,Online,0
200447,55410,Travel,1573.04,985,2,5,0,Broker,1
200448,54684,Home,962.41,1381,2,5,0,Broker,0
200449,52744,Motor,1527.46,2517,2,3,0,Phone,0
200450,51887,Motor,919.09,383,1,6,0,Online,1
200451,53420,Motor,3635.44,1620,2,8,0,Broker,1
200452,55742,Home,2070.63,492,1,4,0,Online,0
200453,55055,Home,1587.06,3636,1,4,0,Online,0
200454,50348,Home,603.38,982,0,3,1,Phone,0
200455,53182,Travel,4525.07,407,1,3,1,Phone,1
200456,52284,Home,5630.9,1285,0,1,0,Phone,0
200457,51059,Home,2475.41,19,0,3,1,Phone,0
200458,53114,Motor,959.08,1580,1,7,1,Phone,0
200459,55752,Travel,3467.43,3415,0,2,0,Phone,0
200460,51382,Home,1483.82,2513,2,2,1,Online,0
200461,53317,Motor,690.74,1575,0,6,0,Phone,0
200462,50886,Motor,1286.48,2242,0,3,1,Online,0
200463,54745,Motor,4584.16,3345,2,5,1,Online,1
200464,53313,Home,4208.0,1722,2,4,0,Online,0
200465,51687,Motor,1100.57,616,1,2,1,Online,0
200466,54577,Motor,3523.46,129,4,3,0,Online,0
200467,54373,Home,2648.27,3441,0,8,0,Online,0
200468,55259,Motor,2935.14,476,1,8,0,Phone,0
200469,52746,Home,1846.08,1763,1,3,0,Phone,0
200470,51912,Travel,2957.18,1608,2,4,0,Online,0
200471,53359,Motor,4839.6,3076,0,1,1,Online,0
200472,52598,Home,1818.05,2158,1,5,0,Online,0
200473,54559,Home,1747.75,3276,0,3,0,Online,0
200474,55904,Motor,2980.01,1261,2,6,0,Online,0
200475,54386,Motor,3070.77,2909,0,2,1,Phone,1
200476,55220,Home,1436.91,1427,1,6,0,Online,1
200477,51244,Motor,1079.76,1699,0,3,0,Phone,0
200478,55701,Travel,2729.63,2264,5,2,0,Broker,0
200479,50446,Travel,2607.67,814,2,4,0,Online,0
200480,55119,Travel,3881.05,3307,1,2,0,Online,1
200481,55943,Motor,1384.81,3238,1,4,0,Online,1
200482,52238,Motor,2941.71,426,1,4,0,Online,0
